market,date,sierra_width,databento_width,absolute_difference,sierra_eligible_4_120,databento_eligible_4_120,classification_disagreement
NQ,2023-11-02,51.75,51.75,0.0,True,True,False
NQ,2023-11-03,99.25,99.25,0.0,True,True,False
NQ,2023-11-06,60.5,60.5,0.0,True,True,False
NQ,2023-11-07,79.25,79.25,0.0,True,True,False
NQ,2023-11-08,43.5,43.5,0.0,True,True,False
NQ,2023-11-09,57.5,57.5,0.0,True,True,False
NQ,2023-11-10,85.25,85.25,0.0,True,True,False
NQ,2023-11-13,73.75,73.75,0.0,True,True,False
NQ,2023-11-14,77.25,77.25,0.0,True,True,False
NQ,2023-11-15,67.5,67.5,0.0,True,True,False
NQ,2023-11-16,72.75,72.75,0.0,True,True,False
NQ,2023-11-17,49.25,49.25,0.0,True,True,False
NQ,2023-11-20,102.25,102.25,0.0,True,True,False
NQ,2023-11-21,40.5,40.5,0.0,True,True,False
NQ,2023-11-22,138.5,138.5,0.0,False,False,False
NQ,2023-11-27,67.25,67.25,0.0,True,True,False
NQ,2023-11-28,49.0,49.0,0.0,True,True,False
NQ,2023-11-29,62.0,62.0,0.0,True,True,False
NQ,2023-11-30,105.0,105.0,0.0,True,True,False
NQ,2023-12-01,67.75,67.75,0.0,True,True,False
NQ,2023-12-04,53.5,53.5,0.0,True,True,False
NQ,2023-12-05,81.0,81.0,0.0,True,True,False
NQ,2023-12-06,101.5,101.5,0.0,True,True,False
NQ,2023-12-07,94.5,94.5,0.0,True,True,False
NQ,2023-12-08,78.75,78.75,0.0,True,True,False
NQ,2023-12-11,95.0,95.0,0.0,True,True,False
NQ,2023-12-12,71.0,71.0,0.0,True,True,False
NQ,2023-12-13,60.0,60.0,0.0,True,True,False
NQ,2023-12-14,65.75,65.75,0.0,True,True,False
NQ,2023-12-15,64.25,64.25,0.0,True,True,False
NQ,2023-12-18,50.5,50.5,0.0,True,True,False
NQ,2023-12-19,51.0,51.0,0.0,True,True,False
NQ,2023-12-20,53.0,53.0,0.0,True,True,False
NQ,2023-12-21,73.25,73.25,0.0,True,True,False
NQ,2023-12-22,52.25,52.25,0.0,True,True,False
NQ,2023-12-26,46.5,46.5,0.0,True,True,False
NQ,2023-12-27,30.0,30.0,0.0,True,True,False
NQ,2023-12-28,44.25,44.25,0.0,True,True,False
NQ,2023-12-29,33.75,33.75,0.0,True,True,False
ES,2023-01-03,48.25,48.25,0.0,True,True,False
ES,2023-01-04,23.0,23.0,0.0,True,True,False
ES,2023-01-05,29.75,29.75,0.0,True,True,False
ES,2023-01-06,46.0,46.0,0.0,True,True,False
ES,2023-01-09,24.0,24.0,0.0,True,True,False
ES,2023-01-10,22.5,22.5,0.0,True,True,False
ES,2023-01-11,13.75,13.75,0.0,True,True,False
ES,2023-01-12,45.75,45.75,0.0,True,True,False
ES,2023-01-13,19.25,19.25,0.0,True,True,False
ES,2023-01-17,15.0,15.0,0.0,True,True,False
ES,2023-01-18,13.25,13.25,0.0,True,True,False
ES,2023-01-19,18.25,18.25,0.0,True,True,False
ES,2023-01-20,18.25,18.25,0.0,True,True,False
ES,2023-01-23,26.25,26.25,0.0,True,True,False
ES,2023-01-24,21.75,21.75,0.0,True,True,False
ES,2023-01-25,23.75,23.75,0.0,True,True,False
ES,2023-01-26,33.0,33.0,0.0,True,True,False
ES,2023-01-27,20.75,20.75,0.0,True,True,False
ES,2023-01-30,19.5,19.5,0.0,True,True,False
ES,2023-01-31,14.75,14.75,0.0,True,True,False
ES,2023-02-01,16.25,16.25,0.0,True,True,False
ES,2023-02-02,18.0,18.0,0.0,True,True,False
ES,2023-02-03,29.75,29.75,0.0,True,True,False
ES,2023-02-06,15.5,15.5,0.0,True,True,False
ES,2023-02-07,11.0,11.0,0.0,True,True,False
ES,2023-02-08,16.75,16.75,0.0,True,True,False
ES,2023-02-09,16.5,16.5,0.0,True,True,False
ES,2023-02-10,15.25,15.25,0.0,True,True,False
ES,2023-02-13,21.75,21.75,0.0,True,True,False
ES,2023-02-14,42.5,42.5,0.0,True,True,False
ES,2023-02-15,19.25,19.25,0.0,True,True,False
ES,2023-02-16,15.5,15.5,0.0,True,True,False
ES,2023-02-17,26.5,26.5,0.0,True,True,False
ES,2023-02-21,19.0,19.0,0.0,True,True,False
ES,2023-02-22,11.75,11.75,0.0,True,True,False
ES,2023-02-23,14.25,14.25,0.0,True,True,False
ES,2023-02-24,23.25,23.25,0.0,True,True,False
ES,2023-02-27,13.0,13.0,0.0,True,True,False
ES,2023-02-28,15.75,15.75,0.0,True,True,False
ES,2023-03-01,15.5,15.5,0.0,True,True,False
ES,2023-03-02,12.75,12.75,0.0,True,True,False
ES,2023-03-03,18.0,18.0,0.0,True,True,False
ES,2023-03-06,11.25,11.25,0.0,True,True,False
